排名,店名,类型,位置,人均(元),综合评分,推荐频次,主要优点,主要缺点
1,渝歪嘴火锅（总店）,老火锅,重大虎溪东门对面,70–85,9.1,⭐⭐⭐⭐⭐ (30+),菜品极新鲜、锅底香不苦、无营销、老师学生都爱,价格偏高、部分分店不稳定、高峰期排队久
2,藏到吃鱼,美蛙鱼头,陈家桥工商银行背后,80–100,8.9,⭐⭐⭐⭐☆ (25+),蛙嫩鱼鲜、非预制、可混点、博主实拍多,需提前20分钟电话预约、服务较随意、环境普通
3,歪角老火锅（陈家桥总店）,老火锅,陈家桥龙腾丰文/二开发区,60–80,8.7,⭐⭐⭐⭐⭐ (40+),老重庆味、香而不死咸、本地人常去、便宜,二楼卫生差（有用户见洗碗盆脏）、越煮越咸争议、服务慢
4,六姐老火锅,老火锅,龙湖U城喜茶对面二楼,70–90,8.5,⭐⭐⭐⭐ (20+),有牛胸口油、老板热情、带狗友好、回头客多,两人吃易超300元、位置隐蔽
5,笨火锅,老火锅,微电园好城时光3栋楼下,85–100,8.4,⭐⭐⭐⭐ (18+),味道正宗、食材优质、干净、无冻货,价格贵、位置偏、不适合预算党
6,二妹美蛙鱼,美蛙鱼头,陈家桥本地社区,70–90,8.3,⭐⭐⭐⭐ (15+),本地人认可、蛙入味、够辣够麻,环境简陋、无包厢、位置难找
7,阿嫂记忆老火锅,老火锅,U城/高新天街,60–75,8.0,⭐⭐⭐⭐ (25+),免费蛋炒饭/冰粉、小菜多、氛围热闹,**卫生风险高**（多人曝“老鼠屎”“拉肚子”）、品控不稳
8,渝厨生态火锅,老火锅,熙街/U城/钟蛊里旁,70–90,7.9,⭐⭐⭐☆ (12+),环境好、配菜丰富、免费洋芋饭、适合请客,偏贵、锅底不够重口、外地人更爱
9,老地瓜火锅,老火锅,U城/欧鹏泊雅湾附近,55–70,7.8,⭐⭐⭐☆ (15+),土豆饭免费、冰粉1毛任吃、嬢嬢亲切,近年味道下滑、菜品普通
10,青木火锅（仟佰汇店）,老火锅,仟佰汇/千百汇商场,70–85,7.7,⭐⭐⭐☆ (20+),锅底稳定、菜品较精致、位置方便,越来越咸、蔬菜不洗（有虫）、性价比一般
11,信赖心诚香锅鱼,美蛙鱼头,陈家桥医院对面,70–90,7.6,⭐⭐⭐ (10+),麻辣味重、鱼肉嫩、部分人认为优于藏到,蛙评价两极、服务一般
12,集合老火锅,老火锅,城管校对面 / 科院附近,60–80,7.5,⭐⭐⭐ (8+),多人称“大学城最好吃”、口味突出,信息少、未大规模推广、位置普通
13,矿火锅,老火锅,金科天辰小学旁,75–90,7.4,⭐⭐⭐ (8+),干净、味道好、有忠实客群,价格小贵、位置偏
14,李火辣火锅,老火锅,熙街/科院附近,80–100,7.2,⭐⭐⭐ (12+),适合请外地朋友、装修体面,只辣不香、性价比低、本地人不推
15,建新村老火锅（陈家桥店）,老火锅,陈家桥老街,50–70,7.1,⭐⭐⭐⭐⭐ (35+),便宜、锅底够味、学生党首选,冻货多、肉不新鲜、吃完身上味重、卫生一般
16,后火锅（自助）,自助火锅,熙街,59.8,7.0,⭐⭐⭐ (10+),自助划算、毛肚尚可、价格透明,锅底平淡、第二轮加汤味淡、菜品普通
17,升凡火锅,老火锅,大学城,65–80,6.9,⭐⭐⭐ (8+),多人推荐、口味尚可、稳定,缺乏亮点、无突出记忆点
18,泥古牛火锅,老火锅,大学城（原不挂科团队）,50–70,6.8,⭐⭐⭐ (10+),便宜、牛肉大块、蛋炒饭好吃,已有用户称“不如从前”、部分店关闭
19,小王少龙火锅,社区火锅,北麓国际城,60–80,6.7,⭐⭐☆ (6+),性价比高、鲜切牛肉好、需排队,上菜慢、微辣也很辣、服务一般
20,吾舍老火锅,老火锅,金科廊桥天都7号门外,70–85,6.6,⭐⭐☆ (5+),**非常干净**、服务好、环境整洁,味道中规中矩、名气小
21,地壹站地摊老火锅,地摊火锅,地铁口小区门口（罗森旁）,50–70,6.5,⭐⭐☆ (5+),烟火气足、强推多次、价格低,无堂食感、环境简陋
22,民心食府,老火锅,位置不详（陈家桥？）,60–75,6.4,⭐⭐ (3+),少量正面评价、家常味,信息极少、无法验证
23,舜火锅,老火锅,重大门口,60–80,6.3,⭐⭐ (3+),本地人推荐、位置便利,评价稀少
24,铁匠火锅,老火锅,微电园？,70–90,6.2,⭐⭐ (2+),新提及、语气肯定,无详细反馈
25,长口老火锅,老火锅,双碑（近大学城）,60–80,6.1,⭐⭐ (2+),被称为“No.1”,距离稍远、信息少
26,鸿家大院,老火锅,龙湖U城,70–85,6.0,⭐⭐ (5+),小料种类多、位置方便,味道普通、无特色
27,奇闻老火锅,老火锅,富力城,60–80,5.8,⭐⭐ (4+),作者初体验不错,用户提及少、缺乏认可
28,不挂科老火锅,老火锅,科技学院/熙街等多家,60–80,5.5,⭐⭐⭐⭐ (30+),名气大、历史久、营销强,**大量本地人吐槽“只辣不香”“发苦”“广子多”**
29,山水溶洞火锅,老火锅,熙街,80+,5.0,⭐⭐ (4+),装修独特、适合拍照,味道普通、非地道重庆味、性价比低
